ageType_ID,AgeType,Region,CD1,CD2,Other,All_data,CD1_100,CD2_100,Other_100,All_100,year,ID,Region_product
,,Брянская обл.,205.0,3807.0,30.0,4043.0,58.0,403.0,3.0,465.0,2022-08-01,193,Брянская_область
,,Брянская обл.,205.0,3807.0,30.0,4043.0,58.0,403.0,3.0,465.0,2022-09-01,194,Брянская_область
,,Брянская обл.,205.0,3807.0,30.0,4043.0,58.0,403.0,3.0,465.0,2022-10-01,195,Брянская_область
,,Брянская обл.,205.0,3807.0,30.0,4043.0,58.0,403.0,3.0,465.0,2022-11-01,196,Брянская_область
,,Брянская обл.,205.0,3807.0,30.0,4043.0,58.0,403.0,3.0,465.0,2022-12-01,197,Брянская_область
,,Брянская обл.,205.0,3807.0,30.0,4043.0,58.0,403.0,3.0,465.0,2022-02-01,198,Брянская_область
,,Бурятия Респ.,81.0,2788.0,20.0,2892.0,20.0,387.0,2.0,410.0,2020-03-01,199,Республика_Бурятия
,,Бурятия Респ.,81.0,2788.0,20.0,2892.0,20.0,387.0,2.0,410.0,2020-04-01,200,Республика_Бурятия
,,Бурятия Респ.,81.0,2788.0,20.0,2892.0,20.0,387.0,2.0,410.0,2020-05-01,201,Республика_Бурятия
,,Бурятия Респ.,81.0,2788.0,20.0,2892.0,20.0,387.0,2.0,410.0,2020-06-01,202,Республика_Бурятия
,,Бурятия Респ.,81.0,2788.0,20.0,2892.0,20.0,387.0,2.0,410.0,2020-07-01,203,Республика_Бурятия
,,Бурятия Респ.,81.0,2788.0,20.0,2892.0,20.0,387.0,2.0,410.0,2020-08-01,204,Республика_Бурятия
,,Бурятия Респ.,81.0,2788.0,20.0,2892.0,20.0,387.0,2.0,410.0,2020-09-01,205,Республика_Бурятия
,,Бурятия Респ.,81.0,2788.0,20.0,2892.0,20.0,387.0,2.0,410.0,2020-10-01,206,Республика_Бурятия
,,Бурятия Респ.,81.0,2788.0,20.0,2892.0,20.0,387.0,2.0,410.0,2020-11-01,207,Республика_Бурятия
,,Бурятия Респ.,81.0,2788.0,20.0,2892.0,20.0,387.0,2.0,410.0,2020-12-01,208,Республика_Бурятия
,,Бурятия Респ.,81.0,2788.0,20.0,2892.0,20.0,387.0,2.0,410.0,2020-02-01,209,Республика_Бурятия
,,Бурятия Респ.,89.0,2938.0,24.0,3053.0,26.0,411.0,3.0,443.0,2022-03-01,210,Республика_Бурятия
,,Бурятия Респ.,89.0,2938.0,24.0,3053.0,26.0,411.0,3.0,443.0,2022-04-01,211,Республика_Бурятия
,,Бурятия Респ.,89.0,2938.0,24.0,3053.0,26.0,411.0,3.0,443.0,2022-05-01,212,Республика_Бурятия
,,Бурятия Респ.,89.0,2938.0,24.0,3053.0,26.0,411.0,3.0,443.0,2022-06-01,213,Республика_Бурятия
,,Бурятия Респ.,89.0,2938.0,24.0,3053.0,26.0,411.0,3.0,443.0,2022-07-01,214,Республика_Бурятия
,,Бурятия Респ.,89.0,2938.0,24.0,3053.0,26.0,411.0,3.0,443.0,2022-08-01,215,Республика_Бурятия
,,Бурятия Респ.,89.0,2938.0,24.0,3053.0,26.0,411.0,3.0,443.0,2022-09-01,216,Республика_Бурятия
,,Бурятия Респ.,89.0,2938.0,24.0,3053.0,26.0,411.0,3.0,443.0,2022-10-01,217,Республика_Бурятия
,,Бурятия Респ.,89.0,2938.0,24.0,3053.0,26.0,411.0,3.0,443.0,2022-11-01,218,Республика_Бурятия
,,Бурятия Респ.,89.0,2938.0,24.0,3053.0,26.0,411.0,3.0,443.0,2022-12-01,219,Республика_Бурятия
